file,man_id,tei
sfe-1901-001__1925.xml,72390f87-b9bc-4a46-9408-f70cfd3d4e47,True
sfe-1904-002__1925.xml,b973fb31-a413-4c3a-9793-67e634cc3c9c,True
sfe-1905-001__1925.xml,62258388-9c35-4aed-b7e4-d0088ff3e6e8,True
